40621D,19.0760,72.8777,450
40621D,19.1860,72.9777,455
40621D,19.2960,73.0777,460
40621D,19.4060,73.1777,470
4840D6,28.7041,77.1025,430
4840D6,28.8041,77.2025,440
4840D6,28.9041,77.3025,445
40621D,19.5160,73.2777,480
40621D,19.6260,73.3777,490
40621D,19.7360,73.4777,500
4840D6,29.0041,77.4025,450
4840D6,29.1041,77.5025,455
4840D6,29.2041,77.6025,460
509A3C,12.9716,77.5946,420
509A3C,13.0716,77.6946,430
509A3C,13.1716,77.7946,435
509A3C,13.2716,77.8946,440
6F3B7E,22.5726,88.3639,410
6F3B7E,22.6726,88.4639,420
6F3B7E,22.7726,88.5639,430
6F3B7E,22.8726,88.6639,440
A1B2C3,56.5423,14.8662,561
D4E5F6,-46.1059,112.9002,625
J0K1L2,-58.1339,-86.065,553
A1B2C3,56.7423,15.0662,571
S9T0U1,17.1521,28.1403,460
P6Q7R8,56.4512,-138.7067,553
P6Q7R8,57.3512,-137.8067,598
G7H8I9,-38.1005,85.0875,538
P6Q7R8,57.6512,-137.5067,613
D4E5F6,-45.9059,113.1002,635
M3N4O5,24.4335,4.6426,395
G7H8I9,-37.5005,85.6875,568
G7H8I9,-37.1005,86.0875,588
S9T0U1,18.3521,29.3403,520
D4E5F6,-46.0059,113.0002,630
G7H8I9,-37.8005,85.3875,553
J0K1L2,-57.7339,-85.665,573
P6Q7R8,56.7512,-138.4067,568
M3N4O5,24.6335,4.8426,405
D4E5F6,-46.8059,112.2002,590
D4E5F6,-46.4059,112.6002,610
M3N4O5,25.4335,5.6426,445
S9T0U1,17.7521,28.7403,490
J0K1L2,-57.8339,-85.765,568
S9T0U1,17.5521,28.5403,480
G7H8I9,-37.7005,85.4875,558
P6Q7R8,57.4512,-137.7067,603
P6Q7R8,56.8512,-138.3067,573
A1B2C3,56.1423,14.4662,541
D4E5F6,-46.2059,112.8002,620
D4E5F6,-45.8059,113.2002,640
A1B2C3,55.4423,13.7662,506
J0K1L2,-58.6339,-86.565,528
M3N4O5,25.2335,5.4426,435
D4E5F6,-45.5059,113.5002,655
A1B2C3,56.2423,14.5662,546
D4E5F6,-45.7059,113.3002,645
S9T0U1,17.2521,28.2403,465
P6Q7R8,56.9512,-138.2067,578
J0K1L2,-57.4339,-85.365,588
G7H8I9,-36.8005,86.3875,603
G7H8I9,-37.4005,85.7875,573
G7H8I9,-37.6005,85.5875,563
J0K1L2,-58.2339,-86.165,548
D4E5F6,-46.3059,112.7002,615
A1B2C3,55.7423,14.0662,521
S9T0U1,18.0521,29.0403,505
J0K1L2,-57.5339,-85.465,583
M3N4O5,24.9335,5.1426,420
G7H8I9,-37.0005,86.1875,593
A1B2C3,56.6423,14.9662,566
M3N4O5,24.7335,4.9426,410
D4E5F6,-46.6059,112.4002,600
P6Q7R8,56.2512,-138.9067,543
M3N4O5,24.2335,4.4426,385
P6Q7R8,56.6512,-138.5067,563
P6Q7R8,56.3512,-138.8067,548
S9T0U1,18.4521,29.4403,525
A1B2C3,55.9423,14.2662,531
D4E5F6,-45.4059,113.6002,660
A1B2C3,56.4423,14.7662,556
J0K1L2,-57.9339,-85.865,563
M3N4O5,25.1335,5.3426,430
P6Q7R8,57.2512,-137.9067,593
M3N4O5,25.3335,5.5426,440
J0K1L2,-57.3339,-85.265,593
J0K1L2,-57.2339,-85.165,598
G7H8I9,-37.9005,85.2875,548
S9T0U1,17.6521,28.6403,485
S9T0U1,17.8521,28.8403,495
J0K1L2,-58.0339,-85.965,558
J0K1L2,-58.4339,-86.365,538
M3N4O5,25.6335,5.8426,455
S9T0U1,17.0521,28.0403,455
D4E5F6,-46.7059,112.3002,595
J0K1L2,-58.3339,-86.265,543
A1B2C3,56.8423,15.1662,576
G7H8I9,-38.0005,85.1875,543
P6Q7R8,57.5512,-137.6067,608
M3N4O5,25.0335,5.2426,425
A1B2C3,55.5423,13.8662,511
D4E5F6,-46.5059,112.5002,605
S9T0U1,17.9521,28.9403,500
G7H8I9,-37.2005,85.9875,583
S9T0U1,18.2521,29.2403,515
S9T0U1,17.4521,28.4403,475
A1B2C3,55.6423,13.9662,516
A1B2C3,56.0423,14.3662,536
G7H8I9,-36.9005,86.2875,598
M3N4O5,24.5335,4.7426,400
S9T0U1,18.1521,29.1403,510
J0K1L2,-58.5339,-86.465,533
M3N4O5,24.8335,5.0426,415
A1B2C3,56.3423,14.6662,551
G7H8I9,-36.7005,86.4875,608
M3N4O5,25.5335,5.7426,450
P6Q7R8,57.0512,-138.1067,583
A1B2C3,55.8423,14.1662,526
D4E5F6,-45.6059,113.4002,650
P6Q7R8,57.1512,-138.0067,588
